YEAR,MONTH,Datetime,Rainfall
1938,Jul,07-01-1938,166.122
1938,Aug,08-01-1938,68.987
1938,Sep,09-01-1938,29.756
1938,Oct,10-01-1938,4.06
1938,Nov,11-01-1938,0.039
1938,Dec,12-01-1938,0
1939,Jan,01-01-1939,0.93
1939,Feb,02-01-1939,4.022
1939,Mar,03-01-1939,9.492
1939,Apr,04-01-1939,1.011
1939,May,05-01-1939,0.004
1939,Jun,06-01-1939,36.426
1939,Jul,07-01-1939,95.995
1939,Aug,08-01-1939,131.53
1939,Sep,09-01-1939,44.68
1939,Oct,10-01-1939,0.404
1939,Nov,11-01-1939,1.007
1939,Dec,12-01-1939,0.697
1940,Jan,01-01-1940,2.843
1940,Feb,02-01-1940,10.312
1940,Mar,03-01-1940,23.731
1940,Apr,04-01-1940,1.521
1940,May,05-01-1940,8.169
1940,Jun,06-01-1940,32.81
1940,Jul,07-01-1940,179.804
1940,Aug,08-01-1940,164.446
1940,Sep,09-01-1940,13.695
1940,Oct,10-01-1940,8.129
1940,Nov,11-01-1940,6.465
1940,Dec,12-01-1940,0.426
1941,Jan,01-01-1941,3.258
1941,Feb,02-01-1941,2.604
1941,Mar,03-01-1941,0.328
1941,Apr,04-01-1941,0.291
1941,May,05-01-1941,7.618
1941,Jun,06-01-1941,5.985
1941,Jul,07-01-1941,129.066
1941,Aug,08-01-1941,112.257
1941,Sep,09-01-1941,68.328
1941,Oct,10-01-1941,4.26
1941,Nov,11-01-1941,0.039
1941,Dec,12-01-1941,0.419
1942,Jan,01-01-1942,5.501
1942,Feb,02-01-1942,5.849
1942,Mar,03-01-1942,0
1942,Apr,04-01-1942,12.946
1942,May,05-01-1942,11.528
1942,Jun,06-01-1942,22.169
1942,Jul,07-01-1942,280.147
1942,Aug,08-01-1942,185.295
1942,Sep,09-01-1942,73.658
1942,Oct,10-01-1942,0
1942,Nov,11-01-1942,0.039
1942,Dec,12-01-1942,2.28
1943,Jan,01-01-1943,2.363
1943,Feb,02-01-1943,0
1943,Mar,03-01-1943,0
1943,Apr,04-01-1943,13.695
1943,May,05-01-1943,7.014
1943,Jun,06-01-1943,36.438
1943,Jul,07-01-1943,422.013
