YEAR,MONTH,Datetime,Rainfall
1927,Nov,11-01-1927,13.995
1927,Dec,12-01-1927,16.133
1928,Jan,01-01-1928,3.081
1928,Feb,02-01-1928,11.261
1928,Mar,03-01-1928,1.622
1928,Apr,04-01-1928,1.537
1928,May,05-01-1928,2.141
1928,Jun,06-01-1928,16.516
1928,Jul,07-01-1928,176.907
1928,Aug,08-01-1928,162.208
1928,Sep,09-01-1928,55.861
1928,Oct,10-01-1928,34.034
1928,Nov,11-01-1928,22.339
1928,Dec,12-01-1928,12.452
1929,Jan,01-01-1929,0.439
1929,Feb,02-01-1929,0.623
1929,Mar,03-01-1929,0
1929,Apr,04-01-1929,6.672
1929,May,05-01-1929,2.305
1929,Jun,06-01-1929,40.451
1929,Jul,07-01-1929,181.282
1929,Aug,08-01-1929,170.984
1929,Sep,09-01-1929,7.61
1929,Oct,10-01-1929,1.218
1929,Nov,11-01-1929,0
1929,Dec,12-01-1929,13.781
1930,Jan,01-01-1930,7.42
1930,Feb,02-01-1930,3.527
1930,Mar,03-01-1930,0
1930,Apr,04-01-1930,3.028
1930,May,05-01-1930,19.018
1930,Jun,06-01-1930,103.338
1930,Jul,07-01-1930,271.283
1930,Aug,08-01-1930,91.401
1930,Sep,09-01-1930,23.467
1930,Oct,10-01-1930,15.245
1930,Nov,11-01-1930,0.187
1930,Dec,12-01-1930,0.1
1931,Jan,01-01-1931,0.2
1931,Feb,02-01-1931,3.369
1931,Mar,03-01-1931,1.508
1931,Apr,04-01-1931,0.845
1931,May,05-01-1931,5.083
1931,Jun,06-01-1931,18.763
1931,Jul,07-01-1931,110.993
1931,Aug,08-01-1931,329.724
1931,Sep,09-01-1931,78.002
1931,Oct,10-01-1931,39.215
1931,Nov,11-01-1931,0.006
1931,Dec,12-01-1931,0
1932,Jan,01-01-1932,0
1932,Feb,02-01-1932,0.652
1932,Mar,03-01-1932,6.764
1932,Apr,04-01-1932,2.803
1932,May,05-01-1932,2.659
1932,Jun,06-01-1932,31.876
1932,Jul,07-01-1932,117.485
1932,Aug,08-01-1932,340.39
1932,Sep,09-01-1932,72.3
1932,Oct,10-01-1932,0.134
1932,Nov,11-01-1932,0
1932,Dec,12-01-1932,0
1933,Jan,01-01-1933,0.041
1933,Feb,02-01-1933,13.845
1933,Mar,03-01-1933,4.733
1933,Apr,04-01-1933,20.898
1933,May,05-01-1933,32.101
1933,Jun,06-01-1933,199.104
1933,Jul,07-01-1933,99.115
1933,Aug,08-01-1933,402.437
1933,Sep,09-01-1933,125.591
1933,Oct,10-01-1933,10.213
1933,Nov,11-01-1933,0.106
1933,Dec,12-01-1933,0.482
1934,Jan,01-01-1934,3.764
1934,Feb,02-01-1934,0
1934,Mar,03-01-1934,10.534
1934,Apr,04-01-1934,0
1934,May,05-01-1934,0.456
1934,Jun,06-01-1934,139.921
1934,Jul,07-01-1934,108.815
1934,Aug,08-01-1934,250.91
1934,Sep,09-01-1934,32.351
1934,Oct,10-01-1934,0
1934,Nov,11-01-1934,1.28
1934,Dec,12-01-1934,11.999
1935,Jan,01-01-1935,16.657
1935,Feb,02-01-1935,4.605
1935,Mar,03-01-1935,2.365
1935,Apr,04-01-1935,20.171
1935,May,05-01-1935,2.732
1935,Jun,06-01-1935,18.264
1935,Jul,07-01-1935,278.353
1935,Aug,08-01-1935,61.734
1935,Sep,09-01-1935,105.432
1935,Oct,10-01-1935,9.898
1935,Nov,11-01-1935,1.252
1935,Dec,12-01-1935,2.387
1936,Jan,01-01-1936,0.188
1936,Feb,02-01-1936,10.556
1936,Mar,03-01-1936,15.448
1936,Apr,04-01-1936,1.86
1936,May,05-01-1936,4.594
1936,Jun,06-01-1936,204.245
1936,Jul,07-01-1936,144.391
1936,Aug,08-01-1936,147.045
1936,Sep,09-01-1936,72.121
1936,Oct,10-01-1936,0.024
1936,Nov,11-01-1936,16.527
1936,Dec,12-01-1936,7.96
1937,Jan,01-01-1937,0
1937,Feb,02-01-1937,29.334
1937,Mar,03-01-1937,0
1937,Apr,04-01-1937,3.242
1937,May,05-01-1937,4.778
1937,Jun,06-01-1937,26.917
1937,Jul,07-01-1937,190.629
1937,Aug,08-01-1937,28.031
1937,Sep,09-01-1937,132.936
1937,Oct,10-01-1937,2.554
1937,Nov,11-01-1937,2.652
1937,Dec,12-01-1937,4.674
1938,Jan,01-01-1938,4.187
1938,Feb,02-01-1938,0.195
1938,Mar,03-01-1938,3.974
1938,Apr,04-01-1938,0.405
1938,May,05-01-1938,4.562
1938,Jun,06-01-1938,144.559
1938,Jul,07-01-1938,196.205
1938,Aug,08-01-1938,65.293
1938,Sep,09-01-1938,13.229
1938,Oct,10-01-1938,1.556
1938,Nov,11-01-1938,0
1938,Dec,12-01-1938,0.004
1939,Jan,01-01-1939,2.275
1939,Feb,02-01-1939,9.616
1939,Mar,03-01-1939,7.549
1939,Apr,04-01-1939,0.928
1939,May,05-01-1939,0.175
1939,Jun,06-01-1939,58.049
1939,Jul,07-01-1939,130.734
1939,Aug,08-01-1939,103.327
1939,Sep,09-01-1939,50.634
1939,Oct,10-01-1939,0.083
1939,Nov,11-01-1939,0.104
1939,Dec,12-01-1939,0.214
1940,Jan,01-01-1940,7.407
1940,Feb,02-01-1940,19.637
1940,Mar,03-01-1940,15.51
1940,Apr,04-01-1940,2.828
1940,May,05-01-1940,6.157
1940,Jun,06-01-1940,26.369
1940,Jul,07-01-1940,190.205
1940,Aug,08-01-1940,174.942
1940,Sep,09-01-1940,9.726
1940,Oct,10-01-1940,4.961
1940,Nov,11-01-1940,3.819
1940,Dec,12-01-1940,1.013
1941,Jan,01-01-1941,6.951
1941,Feb,02-01-1941,1.502
1941,Mar,03-01-1941,0.739
1941,Apr,04-01-1941,0.072
1941,May,05-01-1941,13.779
1941,Jun,06-01-1941,17.494
1941,Jul,07-01-1941,121.011
1941,Aug,08-01-1941,113.515
1941,Sep,09-01-1941,55.006
1941,Oct,10-01-1941,3.324
1941,Nov,11-01-1941,0
1941,Dec,12-01-1941,1.956
1942,Jan,01-01-1942,8.168
1942,Feb,02-01-1942,10.111
1942,Mar,03-01-1942,0.014
1942,Apr,04-01-1942,13.308
1942,May,05-01-1942,13.565
1942,Jun,06-01-1942,23.811
1942,Jul,07-01-1942,362.346
1942,Aug,08-01-1942,179.874
1942,Sep,09-01-1942,102.512
1942,Oct,10-01-1942,0
1942,Nov,11-01-1942,0
1942,Dec,12-01-1942,4.084
1943,Jan,01-01-1943,4.82
1943,Feb,02-01-1943,0
1943,Mar,03-01-1943,0
1943,Apr,04-01-1943,17.058
1943,May,05-01-1943,10.931
1943,Jun,06-01-1943,44.92
1943,Jul,07-01-1943,414.487
1943,Aug,08-01-1943,158.939
1943,Sep,09-01-1943,185.163
1943,Oct,10-01-1943,0.336
1943,Nov,11-01-1943,0
1943,Dec,12-01-1943,0
1944,Jan,01-01-1944,21.933
1944,Feb,02-01-1944,9.973
1944,Mar,03-01-1944,28.486
1944,Apr,04-01-1944,14.421
1944,May,05-01-1944,0.2
1944,Jun,06-01-1944,39.239
1944,Jul,07-01-1944,254.778
1944,Aug,08-01-1944,236.502
1944,Sep,09-01-1944,57.422
1944,Oct,10-01-1944,12.332
1944,Nov,11-01-1944,0
1944,Dec,12-01-1944,0
1945,Jan,01-01-1945,10.372
1945,Feb,02-01-1945,0
1945,Mar,03-01-1945,0
1945,Apr,04-01-1945,3.931
1945,May,05-01-1945,22.404
1945,Jun,06-01-1945,27.52
1945,Jul,07-01-1945,380.205
1945,Aug,08-01-1945,198.68
1945,Sep,09-01-1945,79.617
1945,Oct,10-01-1945,0.724
1945,Nov,11-01-1945,0
1945,Dec,12-01-1945,0
1946,Jan,01-01-1946,0
1946,Feb,02-01-1946,1.516
1946,Mar,03-01-1946,0
1946,Apr,04-01-1946,0.322
1946,May,05-01-1946,9.436
1946,Jun,06-01-1946,49.708
1946,Jul,07-01-1946,174.042
1946,Aug,08-01-1946,212.901
1946,Sep,09-01-1946,13.096
1946,Oct,10-01-1946,0.857
1946,Nov,11-01-1946,1.482
1946,Dec,12-01-1946,1.754
1947,Jan,01-01-1947,1.781
1947,Feb,02-01-1947,2.206
1947,Mar,03-01-1947,1.238
1947,Apr,04-01-1947,0.448
1947,May,05-01-1947,1.733
1947,Jun,06-01-1947,11.996
1947,Jul,07-01-1947,153.368
1947,Aug,08-01-1947,206.671
1947,Sep,09-01-1947,248.532
1947,Oct,10-01-1947,31.136
1947,Nov,11-01-1947,0
1947,Dec,12-01-1947,2.205
1948,Jan,01-01-1948,18.619
1948,Feb,02-01-1948,11.633
1948,Mar,03-01-1948,3.677
1948,Apr,04-01-1948,0.748
1948,May,05-01-1948,4.445
1948,Jun,06-01-1948,21.454
1948,Jul,07-01-1948,320.477
1948,Aug,08-01-1948,168.771
1948,Sep,09-01-1948,68.469
1948,Oct,10-01-1948,4.852
1948,Nov,11-01-1948,3.861
1948,Dec,12-01-1948,0.004
1949,Jan,01-01-1949,6.948
1949,Feb,02-01-1949,5.168
1949,Mar,03-01-1949,0.486
1949,Apr,04-01-1949,0.014
1949,May,05-01-1949,3.608
1949,Jun,06-01-1949,18.642
1949,Jul,07-01-1949,339.454
1949,Aug,08-01-1949,126.777
1949,Sep,09-01-1949,83.876
1949,Oct,10-01-1949,7.614
1949,Nov,11-01-1949,0
1949,Dec,12-01-1949,0
1950,Jan,01-01-1950,1.77
1950,Feb,02-01-1950,0.172
1950,Mar,03-01-1950,4.823
1950,Apr,04-01-1950,0
1950,May,05-01-1950,10.816
1950,Jun,06-01-1950,13.86
1950,Jul,07-01-1950,304.719
1950,Aug,08-01-1950,109.121
1950,Sep,09-01-1950,118.001
1950,Oct,10-01-1950,0.083
1950,Nov,11-01-1950,0.002
1950,Dec,12-01-1950,0.7
1951,Jan,01-01-1951,2.422
1951,Feb,02-01-1951,0.031
1951,Mar,03-01-1951,8.487
1951,Apr,04-01-1951,4.305
1951,May,05-01-1951,15.08
1951,Jun,06-01-1951,72.224
1951,Jul,07-01-1951,113.013
1951,Aug,08-01-1951,191.756
1951,Sep,09-01-1951,64.641
1951,Oct,10-01-1951,2.247
1951,Nov,11-01-1951,49.122
1951,Dec,12-01-1951,0
1952,Jan,01-01-1952,0.412
1952,Feb,02-01-1952,5.17
1952,Mar,03-01-1952,5.644
1952,Apr,04-01-1952,3.978
1952,May,05-01-1952,5.358
1952,Jun,06-01-1952,34.802
1952,Jul,07-01-1952,316.059
1952,Aug,08-01-1952,285.41
1952,Sep,09-01-1952,3.808
1952,Oct,10-01-1952,0.003
1952,Nov,11-01-1952,0
1952,Dec,12-01-1952,10.574
1953,Jan,01-01-1953,11.839
1953,Feb,02-01-1953,0
1953,Mar,03-01-1953,0
1953,Apr,04-01-1953,2.326
1953,May,05-01-1953,3.544
1953,Jun,06-01-1953,38.149
1953,Jul,07-01-1953,184.566
1953,Aug,08-01-1953,216.927
1953,Sep,09-01-1953,78.726
1953,Oct,10-01-1953,0.469
1953,Nov,11-01-1953,0
1953,Dec,12-01-1953,0
1954,Jan,01-01-1954,7.144
1954,Feb,02-01-1954,17.738
1954,Mar,03-01-1954,2.96
1954,Apr,04-01-1954,0
1954,May,05-01-1954,1.024
1954,Jun,06-01-1954,12.355
1954,Jul,07-01-1954,248.264
1954,Aug,08-01-1954,120.657
1954,Sep,09-01-1954,172.374
1954,Oct,10-01-1954,28.521
1954,Nov,11-01-1954,11.193
1954,Dec,12-01-1954,0
1955,Jan,01-01-1955,6.429
1955,Feb,02-01-1955,0.032
1955,Mar,03-01-1955,1.634
1955,Apr,04-01-1955,2.025
1955,May,05-01-1955,8.005
1955,Jun,06-01-1955,68.292
1955,Jul,07-01-1955,121.472
1955,Aug,08-01-1955,295.65
1955,Sep,09-01-1955,157.017
1955,Oct,10-01-1955,28.629
1955,Nov,11-01-1955,0
1955,Dec,12-01-1955,6.75
1956,Jan,01-01-1956,9.101
1956,Feb,02-01-1956,0.397
1956,Mar,03-01-1956,11.311
1956,Apr,04-01-1956,0.87
1956,May,05-01-1956,0.368
1956,Jun,06-01-1956,50.258
1956,Jul,07-01-1956,517.613
1956,Aug,08-01-1956,136.114
1956,Sep,09-01-1956,13.82
1956,Oct,10-01-1956,46.525
1956,Nov,11-01-1956,0.88
1956,Dec,12-01-1956,5.283
1957,Jan,01-01-1957,13.186
1957,Feb,02-01-1957,0
1957,Mar,03-01-1957,14.091
1957,Apr,04-01-1957,2.929
1957,May,05-01-1957,11.459
1957,Jun,06-01-1957,35.435
1957,Jul,07-01-1957,222.495
1957,Aug,08-01-1957,181.975
1957,Sep,09-01-1957,64.557
1957,Oct,10-01-1957,4.942
1957,Nov,11-01-1957,14.028
1957,Dec,12-01-1957,2.414
1958,Jan,01-01-1958,1.602
1958,Feb,02-01-1958,1.21
1958,Mar,03-01-1958,2.466
1958,Apr,04-01-1958,0.206
1958,May,05-01-1958,3.674
1958,Jun,06-01-1958,11.773
1958,Jul,07-01-1958,303.012
1958,Aug,08-01-1958,121.098
1958,Sep,09-01-1958,273.61
1958,Oct,10-01-1958,9.067
1958,Nov,11-01-1958,41.306
1958,Dec,12-01-1958,8.453
1959,Jan,01-01-1959,4.172
1959,Feb,02-01-1959,0.747
1959,Mar,03-01-1959,0.804
1959,Apr,04-01-1959,1.197
1959,May,05-01-1959,28.43
1959,Jun,06-01-1959,61.709
1959,Jul,07-01-1959,196.905
1959,Aug,08-01-1959,143.234
1959,Sep,09-01-1959,120.596
1959,Oct,10-01-1959,1.371
1959,Nov,11-01-1959,13.103
1959,Dec,12-01-1959,0
1960,Jan,01-01-1960,0.912
1960,Feb,02-01-1960,0
1960,Mar,03-01-1960,3.294
1960,Apr,04-01-1960,0.666
1960,May,05-01-1960,8.771
1960,Jun,06-01-1960,44.184
1960,Jul,07-01-1960,188.457
1960,Aug,08-01-1960,169.253
1960,Sep,09-01-1960,21.997
1960,Oct,10-01-1960,19.324
1960,Nov,11-01-1960,0
1960,Dec,12-01-1960,0.896
1961,Jan,01-01-1961,8.103
1961,Feb,02-01-1961,23.096
1961,Mar,03-01-1961,0
1961,Apr,04-01-1961,10.505
1961,May,05-01-1961,9.025
1961,Jun,06-01-1961,54.678
1961,Jul,07-01-1961,153.792
1961,Aug,08-01-1961,248.602
1961,Sep,09-01-1961,172.835
1961,Oct,10-01-1961,13.012
1961,Nov,11-01-1961,3.016
1961,Dec,12-01-1961,0.716
1962,Jan,01-01-1962,5.517
1962,Feb,02-01-1962,0.861
1962,Mar,03-01-1962,9.31
1962,Apr,04-01-1962,1.546
1962,May,05-01-1962,1.338
1962,Jun,06-01-1962,13.6
1962,Jul,07-01-1962,281.655
1962,Aug,08-01-1962,110.588
1962,Sep,09-01-1962,108.835
1962,Oct,10-01-1962,0
1962,Nov,11-01-1962,1.32
1962,Dec,12-01-1962,2.263
1963,Jan,01-01-1963,2.274
1963,Feb,02-01-1963,3.802
1963,Mar,03-01-1963,1.739
1963,Apr,04-01-1963,1.182
1963,May,05-01-1963,6.389
1963,Jun,06-01-1963,29.875
1963,Jul,07-01-1963,79.202
1963,Aug,08-01-1963,185.421
1963,Sep,09-01-1963,143.938
1963,Oct,10-01-1963,6.999
1963,Nov,11-01-1963,15.168
1963,Dec,12-01-1963,5.276
1964,Jan,01-01-1964,0
1964,Feb,02-01-1964,0.031
1964,Mar,03-01-1964,0.621
1964,Apr,04-01-1964,0.489
1964,May,05-01-1964,26.815
1964,Jun,06-01-1964,25.666
1964,Jul,07-01-1964,334.385
1964,Aug,08-01-1964,252.09
1964,Sep,09-01-1964,99.33
1964,Oct,10-01-1964,4.588
1964,Nov,11-01-1964,0
1964,Dec,12-01-1964,9.043
1965,Jan,01-01-1965,6.415
1965,Feb,02-01-1965,3.476
1965,Mar,03-01-1965,2.832
1965,Apr,04-01-1965,4.419
1965,May,05-01-1965,1.7
1965,Jun,06-01-1965,10.002
1965,Jul,07-01-1965,344.41
1965,Aug,08-01-1965,101.518
1965,Sep,09-01-1965,49.301
1965,Oct,10-01-1965,7.201
1965,Nov,11-01-1965,0.003
1965,Dec,12-01-1965,0.085
1966,Jan,01-01-1966,0.131
1966,Feb,02-01-1966,2.334
1966,Mar,03-01-1966,0.037
1966,Apr,04-01-1966,0.088
1966,May,05-01-1966,25.521
1966,Jun,06-01-1966,71.679
1966,Jul,07-01-1966,193.353
1966,Aug,08-01-1966,260.959
1966,Sep,09-01-1966,56.33
1966,Oct,10-01-1966,1.946
1966,Nov,11-01-1966,21.051
